-75.00000	 82.75172	 1	 263	 
-67.50000	 82.75172	 2	 264	 
-37.50000	 82.75172	 1	 268	 
-30.00000	 82.75172	 2	 269	 
-22.50000	 82.75172	 2	 270	 
-90.00000	 81.81684	 1	 312	 
-83.07693	 81.81684	 1	 313	 
-76.15384	 81.81684	 1	 314	 
-69.23077	 81.81684	 2	 315	 
-55.38461	 81.81684	 2	 317	 
-48.46155	 81.81684	 2	 318	 
-41.53845	 81.81684	 1	 319	 
-34.61539	 81.81684	 1	 320	 
-27.69232	 81.81684	 2	 321	 
57.85714	 80.88191	 3	 334	 
64.28571	 80.88191	 3	 335	 
96.42857	 80.88191	 1	 340	 
-83.57144	 80.88191	 2	 368	 
-77.14285	 80.88191	 1	 369	 
-70.71429	 80.88191	 1	 370	 
-64.28571	 80.88191	 2	 371	 
-57.85715	 80.88191	 1	 372	 
-51.42856	 80.88191	 1	 373	 
-45.00000	 80.88191	 1	 374	 
-38.57144	 80.88191	 1	 375	 
-32.14285	 80.88191	 1	 376	 
-25.71429	 80.88191	 2	 377	 
-19.28571	 80.88191	 2	 378	 
24.00000	 79.94696	 2	 385	 
96.00000	 79.94696	 1	 397	 
-90.00000	 79.94696	 1	 426	 
-84.00000	 79.94696	 2	 427	 
-78.00000	 79.94696	 1	 428	 
-72.00000	 79.94696	 2	 429	 
-60.00000	 79.94696	 1	 431	 
-54.00000	 79.94696	 1	 432	 
-48.00000	 79.94696	 1	 433	 
-42.00000	 79.94696	 1	 434	 
-36.00000	 79.94696	 1	 435	 
-30.00000	 79.94696	 1	 436	 
-24.00000	 79.94696	 2	 437	 
-18.00000	 79.94696	 2	 438	 
16.87500	 79.01199	 2	 444	 
101.25000	 79.01199	 1	 459	 
-90.00000	 79.01199	 2	 489	 
-84.37500	 79.01199	 2	 490	 
-78.75000	 79.01199	 1	 491	 
-61.87500	 79.01199	 1	 494	 
-56.25000	 79.01199	 1	 495	 
-50.62500	 79.01199	 1	 496	 
-45.00000	 79.01199	 1	 497	 
-39.37500	 79.01199	 1	 498	 
-33.75000	 79.01199	 1	 499	 
-28.12500	 79.01199	 1	 500	 
-22.50000	 79.01199	 1	 501	 
15.88235	 78.07700	 2	 508	 
-84.70587	 78.07700	 2	 557	 
-79.41177	 78.07700	 1	 558	 
-68.82352	 78.07700	 1	 560	 
-63.52942	 78.07700	 1	 561	 
-58.23529	 78.07700	 1	 562	 
-52.94116	 78.07700	 1	 563	 
-47.64706	 78.07700	 1	 564	 
-42.35294	 78.07700	 1	 565	 
-37.05884	 78.07700	 1	 566	 
-31.76471	 78.07700	 1	 567	 
-26.47058	 78.07700	 1	 568	 
105.00000	 77.14201	 3	 594	 
-85.00000	 77.14201	 2	 628	 
-80.00000	 77.14201	 1	 629	 
-70.00000	 77.14201	 1	 631	 
-65.00000	 77.14201	 1	 632	 
-60.00000	 77.14201	 1	 633	 
-55.00000	 77.14201	 1	 634	 
-50.00000	 77.14201	 1	 635	 
-45.00000	 77.14201	 1	 636	 
-40.00000	 77.14201	 1	 637	 
-35.00000	 77.14201	 1	 638	 
-30.00000	 77.14201	 1	 639	 
-25.00000	 77.14201	 1	 640	 
-20.00000	 77.14201	 2	 641	 
61.57895	 76.20701	 3	 658	 
66.31579	 76.20701	 3	 659	 
104.21053	 76.20701	 3	 667	 
108.94736	 76.20701	 2	 668	 
-108.94737	 76.20701	 2	 698	 
-99.47369	 76.20701	 2	 700	 
-90.00000	 76.20701	 2	 702	 
-56.84210	 76.20701	 1	 709	 
-52.10526	 76.20701	 1	 710	 
-47.36841	 76.20701	 1	 711	 
-42.63159	 76.20701	 1	 712	 
-37.89474	 76.20701	 1	 713	 
-33.15790	 76.20701	 1	 714	 
-28.42105	 76.20701	 1	 715	 
-23.68420	 76.20701	 1	 716	 
58.50000	 75.27200	 3	 734	 
90.00000	 75.27200	 2	 741	 
94.50000	 75.27200	 2	 742	 
99.00000	 75.27200	 2	 743	 
103.50000	 75.27200	 3	 744	 
108.00000	 75.27200	 3	 745	 
112.50000	 75.27200	 2	 746	 
139.50000	 75.27200	 2	 752	 
144.00000	 75.27200	 2	 753	 
-117.00000	 75.27200	 2	 775	 
-112.50000	 75.27200	 2	 776	 
-108.00000	 75.27200	 2	 777	 
-99.00000	 75.27200	 2	 779	 
-94.50000	 75.27200	 2	 780	 
-90.00000	 75.27200	 2	 781	 
-85.50000	 75.27200	 1	 782	 
-81.00000	 75.27200	 1	 783	 
-54.00000	 75.27200	 1	 789	 
-49.50000	 75.27200	 1	 790	 
-45.00000	 75.27200	 1	 791	 
-40.50000	 75.27200	 1	 792	 
-36.00000	 75.27200	 1	 793	 
-31.50000	 75.27200	 1	 794	 
-27.00000	 75.27200	 1	 795	 
-22.50000	 75.27200	 1	 796	 
55.71429	 74.33698	 3	 814	 
90.00000	 74.33698	 2	 822	 
