Lon Lat SoilCode
-126 65.921646118164062 6
1.875 49.090686798095703 2
86.170211791992188 50.025741577148438 2
-62.02703857421875 -24.779132843017578 2
37.702701568603516 24.779132843017578 2
-120 68.726776123046875 2
11.076923370361328 33.194679260253906 2
90 50.025741577148438 2
-59.6842041015625 5.1428399085998535 3
42.580646514892578 7.012962818145752 2
-114 65.921646118164062 2
13.170731544494629 55.636081695556641 2
95.487808227539062 17.298641204833984 3
-58.18182373046875 -1.4025930166244507 4
46.626506805419922 -16.363580703735352 2
-109.28572082519531 28.519374847412109 2
15.517241477966309 12.623332977294922 2
98.470588684082031 14.493456840515137 4
-56.3636474609375 -1.4025930166244507 4
48.795181274414062 -16.363580703735352 2
-102 65.921646118164062 1
18 -28.519374847412109 2
106.36363983154297 52.830913543701172 2
-50.399993896484375 70.596855163574219 1
54.418605804443359 53.765968322753906 2
-88.571441650390625 35.064800262451172 4
22 -9.8181476593017578 2
113.42465972900391 25.714193344116211 4
-39.89691162109375 -3.2727160453796387 4
68.571426391601562 35.064800262451172 3
-85.344818115234375 39.740100860595703 2
24.375 49.090686798095703 2
118.33333587646484 43.480335235595703 2
-8.571441650390625 15.428518295288086 1
65.172416687011719 39.740100860595703 2
-90 55.636081695556641 6
25.714284896850586 -28.519374847412109 2
118.35616302490234 25.714193344116211 4
-19.6875 64.051551818847656 1
66.122451782226562 48.155628204345703 2
-79.137939453125 39.740100860595703 3
28.285715103149414 61.246402740478516 2
125 43.480335235595703 3
-3.033721923828125 10.753210067749023 2
67.090911865234375 42.545276641845703 6
-90 14.493456840515137 4
28.888889312744141 -18.23370361328125 1
125.60439300537109 -8.883087158203125 2
-1.01123046875 10.753210067749023 2
74.189186096191406 24.779132843017578 2
-80.18182373046875 42.545276641845703 3
31.818181991577148 1.4025930166244507 2
126.52173614501953 -29.454435348510742 3
0 34.129737854003906 2
76.621620178222656 24.779132843017578 4
-76.909088134765625 42.545276641845703 3
31.621622085571289 -24.779132843017578 2
130 60.311347961425781 2
2.1176471710205078 14.493456840515137 1
78.488372802734375 13.558395385742188 3
-76.153839111328125 -8.883087158203125 4
32.727272033691406 63.116500854492188 1
135.46391296386719 -3.2727160453796387 3
5.625 34.129737854003906 2
83.793106079101562 39.740100860595703 6
-69.3975830078125 -16.363580703735352 2
36.206897735595703 12.623332977294922 4
140.74467468261719 -6.0779008865356445 4
14.318181991577148 52.830913543701172 2
92.093025207519531 53.765968322753906 4
-61.63043212890625 -7.9480252265930176 4
40.909091949462891 -1.4025930166244507 2
145 60.311347961425781 2
18.461538314819336 21.038887023925781 1
103.33333587646484 68.726776123046875 2
-61.93548583984375 7.012962818145752 4
50.921051025390625 22.90900993347168 1
-136.55172729492188 66.856689453125 1
20.769229888916016 21.038887023925781 2
107.30769348144531 69.661819458007812 2
-61.23712158203125 3.2727160453796387 3
53.289474487304688 22.90900993347168 1
-115.52238464355469 31.324558258056641 2
22.235294342041016 -14.493456840515137 1
104.65116119384766 53.765968322753906 2
